post,closedQ
你这时间点，是在“我们家”失眠了么？,除咗失眠之外有冇其他問題嗎？
有空打游戏，没空失眠,除咗失眠之外有冇其他問題嗎？
好好好颓废了好段时间的我要重拾书本了借你吉言,你係唔係擔心畢業嘅前景啊？
晨，我们后天就考试了，可是我都复习不进去呢,仲有幾耐考呀？
告诉我为什么失眠睡不好皮肤还会那么好你看看我磨皮后的脸痘痘快炸了,除咗失眠之外有冇其他問題嗎？
我发现我要被你同化了，算上昨晚，有两三次喝奶茶失眠了！,除咗失眠之外有冇其他問題嗎？
秋天的傍晚，下班，坐在公交车上回出租屋，看见风把落叶吹到半空，那时是焦虑忧愁的。,你係咪好容易焦慮？
这个点你说失眠！,除咗失眠之外有冇其他問題嗎？
请教个涉及370的问题，不知是否了解：什么情况下，才能出现多部距离很远（不同国家）的二次雷达，同时刻接收到同一目标（370）的应答信号？,你係咪有好明確嘅目標？
老哥你居然还在家，我都快累成狗了，明天就考试，可惜了好好的一个假期,仲有幾耐考呀？
最近我好颓废。,你係唔係擔心畢業嘅前景啊？
我失眠好多day已经不清楚了,除咗失眠之外有冇其他問題嗎？
睡前扣手机很容易失眠的,除咗失眠之外有冇其他問題嗎？
毅力…会冲破一切阻碍，奔着自己的目标……勇往直前…早！,你係咪有好明確嘅目標？
比起我那对只会说”为什么人家不针对别人就针对你呢””别管那些，好好读书就行了”的父母，博主已经很好了，至少重视这方面并且主动向外界寻求帮助。现在该做的是1，坚定地站在孩子这一边。2，转学3，请心理医生，让孩子乐观起来,你適唔適應到新環境呀？
以前高中多好啊就连高三我都觉得虽然压力大但每天很快乐现在,壓力大有無影響到你日常生活呀?
聪哥，终于回来了！想死你了！发张美照呵！,你係咪覺得好辛苦呀?
今天考我最怕的数学，好紧张,咁會唔會影響到你嘅表現？
在迷茫中找到答案，我觉得你会受益匪浅的，师兄。,你係咪覺得迷茫?
读书好辛苦,係咪覺得壓力好大?
我也好紧张，我都不想看书了，考了这么多略读课文！,咁會唔會影響到你嘅表現？
四点钟还在想问题，失眠吗,除咗失眠之外有冇其他問題嗎？
很久没敲五个字以上失眠到手麻,除咗失眠之外有冇其他問題嗎？
不合适，我的课我是不欢迎无关人士来听的，都是自己熟悉的学生讲课会有意思多，来了不相干的人会让原本的课堂氛围改变，如果是其他班的学生好一点，社会人士进来真的怕呀，谁知道下一秒他会干什么,你覺得同佢適唔適合啊？
我一直在查资料，例题累，今天好忙，伟智好忙,係咪有好多嘢要做？
有理有力有节。不让自己太委屈又鼓励自己敢吃苦。,係咪有人屈你？
饿饿饿饿饿，我还是学生饿，没有体验过失眠～～,除咗失眠之外有冇其他問題嗎？
自我怀疑自我否定，这很正常，你需要熬过这段时间，完成一些目标,你係咪有好明確嘅目標？
哇！！！可以说超级甜了！！！回头看了眼我那个只会读书的蛙，心痛的想卸载游戏，我们不一样,你有冇試過問老師問多啲問題啊？
！！对对对小二月！！！你说出我的心声高中战斗力和双商难得的都在线虽然考试好紧张但我喜欢当时那种感觉啊,咁會唔會影響到你嘅表現？
而我们就要强颜欢笑，即使再怎么样也不想让关心自己的担忧,強顏歡笑會唔會令你覺得好攰？
心里要想清楚，自己要的是什么。成为更好的人不就是我们生而为人的最终目标吗？,你係咪有好明確嘅目標？
要先看看是不是肚子涨，可以敲敲看，是不是闷闷的声音，然后是看看会不会是温度不合适或者没安全感，最近天气暖和了许多，然后如果是缺钙的话，会扭来扭去，不行就问问医生吧，我家小孩以前睡觉都是抱着睡熟了才放床上的，喜欢抓着大人的衣领,你覺得同佢適唔適合啊？
我原以为看到你们我会像听到电话里朋友的声音一样忍不住但是我没有我反而笑了不孤单无助的感觉真好还好有你们在我身旁你也一样我们都在你的身旁找一天一起哭一起心碎再一起笑着复原,呢種情況持續幾耐？
这位哥，您此刻的意境我懂，这就叫————失眠！,除咗失眠之外有冇其他問題嗎？
觉得长不大对未来生活感到迷茫就是长大的开始呢…,你係咪覺得迷茫?
睡觉的时候让二当家把手机给你收了就不会失眠了！,除咗失眠之外有冇其他問題嗎？
"肖A,好紧张啊。",咁會唔會影響到你嘅表現？
我最近好忙你们要不要组个团来参加我的婚礼,係咪有好多嘢要做？
笑那么猥琐我失眠好多天了,除咗失眠之外有冇其他問題嗎？
抑郁半年多了虽然一直不愿意承认,你抑鬱咗幾耐？
你是学习压力大么？想找人说话好好说，不要激动！我说的小孩子不是讽刺什么的，而是跟我比，你确实是小…,壓力大有無影響到你日常生活呀?
我是喝咖啡失眠了，你们这么晚都不睡觉吗？,除咗失眠之外有冇其他問題嗎？
我这两天手机咋不合适了，所有消息都要自己刷呢，不自动更新了！错过好多,你覺得同佢適唔適合啊？
感觉你只要自己一个人呆着就要活成一个怨妇了………哪天约起来蹦迪喝酒吃小龙虾不要再自己一个人了我很担忧,你會唔會想有個人陪自己？
旅游管理的表示现在很迷茫,你係咪覺得迷茫?
你们这也算失眠？那我算什么,除咗失眠之外有冇其他問題嗎？
我现在每天不看都内心空虚了。还养成了截图强迫症！,你覺得內心空虛嗎?
2012711依然担心你的伤，听说你进剧组了，可是好热的天气哥哥受得了吗？恩，尊重哥哥的决定，一定要好好照顾好自己。今天，我醒早了，梦见不想梦见的人和事，硬是把自己从梦中挤醒了，啊，好辛苦啊。。。恩，如果我还有理智，一定会好好过我想要的人生。,係咪覺得壓力好大?
委屈我没长痘痘,係咪有人屈你？
老爷爷的背影好寂寞,你係咪覺得好寂寞?
木有睡的我举手'哥哥为嘛失眠？,除咗失眠之外有冇其他問題嗎？
+1，失眠,除咗失眠之外有冇其他問題嗎？
看穿了某凡在故意制造话题，想用我们乐橙的力量刷关注度，不好意思，某凡的切入点如果是拿晨哥制造话题的话，我晨哥受得每一分委屈，都会拿你们的收视率做偿！,係咪有人屈你？
哥，天气炎热，多注意身体哦，多喝点开水，工作别太累，再忙记得吃饭，不要给自己太大压力，好好照顾自己,有冇嘗試做其他嘢放鬆自己呀？
然后一个人越想越委屈，但是后来也就不了了之，生来就是不公平的,係咪有人屈你？
天使，我们后天就考试了。然后过不了几天就回家了，准备实习。你好好睡哈，小学妹。嘻嘻！,仲有幾耐考呀？
我就……想问问……失眠怎么办啊……每天都很困……就是睡不着闭着眼睛就开始想东西，没办法不想痛苦这几个星期状态都不好,除咗失眠之外有冇其他問題嗎？
我的目标院校,你係咪有好明確嘅目標？
我经常失眠了,除咗失眠之外有冇其他問題嗎？
哈哈我没看不过失眠到三点多早上肚子疼醒了还得跑厕所回来再也睡不着了,除咗失眠之外有冇其他問題嗎？
我也是HR，但是我有焦虑症，每天战战兢兢做一万件事怕员工不满意其中0.5件，她好令我羡慕。,你係咪好容易焦慮？
我也是HR，但是我有焦虑症，每天战战兢兢做一万件事怕员工不满意其中0.5件，她好令我羡慕。,係咪覺得讀書好大壓力啊?
舍长我长期失眠怎么办！！！！！！,除咗失眠之外有冇其他問題嗎？
好辛苦！快点回来做饭给你吃~~,係咪覺得壓力好大?
失眠了一晚，今晚也要失眠了好难受，以后不会再真正那么喜欢一个明星了,除咗失眠之外有冇其他問題嗎？
现在就考试？,仲有幾耐考呀？
妹的一上大学作业就好崩溃。。,係咪因為壓力太大？
我好担心你们寝室的生命安全,你係咪擔心聽日考試會好難?
失眠。把手机放下就治好了,除咗失眠之外有冇其他問題嗎？
失眠前兆！,除咗失眠之外有冇其他問題嗎？
你努力就值得肯定，其实焦虑多源于别人对自己的影响。就像自己的成绩自己知道就好了，为什么要发全班的成绩单呢？积极的人伴随着焦虑努力，心力交瘁。悲观的人乐享其成随波逐流。最后，都过了一生。,你係咪好容易焦慮？
晚安~失眠猫咪,除咗失眠之外有冇其他問題嗎？
mark！我现在在准备翻硕但是不知道从哪下手特别迷茫请问有什么建议可以告诉我的吗非常感谢,你係咪覺得迷茫?
迷茫了？,你係咪覺得迷茫?
打雷必委屈爆想哭,係咪有人屈你？
哎…失眠了…,除咗失眠之外有冇其他問題嗎？
也是第一次见你这么委屈的人，走吧，去自己找个角落吧，,係咪有人屈你？
A选项是:觉得即使在一起了，她也看不到。所以就放弃她。老师说这种人最适合考研，适合比目前学校层次高的目标。,你係咪有好明確嘅目標？
我好孤独,你係咪覺得好孤獨?
月亮姐姐一放假我就迷茫了想跟你混,你係咪覺得迷茫?
失眠了？？？,除咗失眠之外有冇其他問題嗎？
第一天上班，很大的挫败感，这是怎么回事…,你係咪經歷緊好大嘅失敗？
抑郁的时候，就来跟小仙女们聊天,你抑鬱咗幾耐？
去苏州干嘛啊'郑总好忙,係咪有好多嘢要做？
姐很懂。哈哈，姐很期待~你这段时间多吃点啦，石家庄那边貌似小吃不多，弟要受委屈了,係咪有人屈你？
能说出来的委屈就不叫委屈了,係咪有人屈你？
最近好忙呀,係咪有好多嘢要做？
不要给自己太大压力了,有冇嘗試做其他嘢放鬆自己呀？
快回来吧，想死你了,你係咪覺得好辛苦呀?
叫你不穿我送的鞋子，其实早该想到的，凉鞋怎么可能脚不疼，我的错，受委屈老,係咪有人屈你？
半年前剪的北京水不好头发都枯了对啊每次换发型都觉得衣服不合适辣起来吧～哈哈,你覺得同佢適唔適合啊？
你盗图多少个失眠夜好兄弟谢谢哦,除咗失眠之外有冇其他問題嗎？
要享受孤独,咁你享唔享受孤獨啊？
活得没有目标呗,你係咪有好明確嘅目標？
我是失眠你是啥。。。,除咗失眠之外有冇其他問題嗎？
纯白小肚子失眠膝盖疼,除咗失眠之外有冇其他問題嗎？
怎么了，我失眠了,除咗失眠之外有冇其他問題嗎？
好耐无见啦，在园洲吗？,上次見係幾時呀？
昨天失眠。迷迷糊糊的半睡半醒。你不会是遇见阿飘吧,除咗失眠之外有冇其他問題嗎？
睡不着是因为失眠了我不吃狗肉还是你狠,除咗失眠之外有冇其他問題嗎？
我这是失眠了吗,除咗失眠之外有冇其他問題嗎？
看最近放的后宫剧都是畅销小说改编的希望你的第一个目标能实现啊到时我报名演女主角哦,你係咪有好明確嘅目標？
我不失眠，我多梦,除咗失眠之外有冇其他問題嗎？
没焦虑只是想保有原来自己.而不是被影响失去那个自己.,你係咪好容易焦慮？
少年我们都很迷茫开题报告要怎么写啊,你係咪覺得迷茫?
哈哈哈说好的增肥之旅最后变成了减肥之旅，委屈了我的莹,係咪有人屈你？
我先删的他好友，换了情侣头像，解除了情侣空间，所有的联系方式都删除了。但我还是白天照样开心，每天晚上哭的跟狗一样，整夜整夜失眠。后来，他有了新的女朋友，我还是活在过去，走不出来。他眼里心里已经没有了我，即使他现在过的不好，我却没有任何立场去关心他，连打电话发短信也不可以。,除咗失眠之外有冇其他問題嗎？
本地游人和外地游客的目标不一样,你係咪有好明確嘅目標？
我们要去实习了好紧张啊,咁會唔會影響到你嘅表現？
10斤....才11天，正常吃饭就能瘦10斤？我不行....我的终极目标是15斤，期待一个月内可以成功，我也运动，可惜，老是饿，越运动多越饿，哎。尧现在多少斤,你係咪有好明確嘅目標？
住没有公主的公主房压力大吗？,壓力大有無影響到你日常生活呀?
天天把自己说的那么委屈，要脸吗？,係咪有人屈你？
我，，，我，，，我抑郁了,你抑鬱咗幾耐？
真的不知道怎么办，我是个女孩子，我有一个从小到大最好最好的闺蜜，女孩子。和我说，她想和我在一起，我最开始以为她在开玩笑，还发“都怪我太帅”之类的表情包，最后她说，我要是接受不了，就当她今天放了个屁。我才知道不是开玩笑，我其实觉得性别不是问题，可我感觉友达以上恋人未满我有点迷茫,你係咪覺得迷茫?
怎么办好紧张十三岁了,咁會唔會影響到你嘅表現？
怎么失眠了？,除咗失眠之外有冇其他問題嗎？
不知道你为啥失眠不因为你去我梦里了我梦见咱俩一起演一个高级话剧啊还啥的演了一晚上,除咗失眠之外有冇其他問題嗎？
你咋又失眠,除咗失眠之外有冇其他問題嗎？
你这何止是失眠啊,除咗失眠之外有冇其他問題嗎？
你都失眠了为什么要发你的照片出来让别人也失眠,除咗失眠之外有冇其他問題嗎？
我一普通人都知道为啥不能开手机，经过多久训练的空姐都不知道？毛毯都不知道在哪被淘汰了还有脸委屈？,係咪有人屈你？
怎么都觉得这是一个待嫁的女人的心声。向着太阳，双手相握在胸前，一脸羞涩，期盼和迷茫，嘴上挂着痴笑！！！不用称赞我的描绘力了,你係咪覺得迷茫?
我对你失望，我感到委屈，可我还会笑着对你说，我好爱你。,係咪有人屈你？
明天教训一下谢晓秋让他晚上早点睡，整晚玩游戏搞得我夜夜失眠啊！！！睡不着,除咗失眠之外有冇其他問題嗎？
小宝你现在干嘛了，好忙哦！都不直播了,係咪有好多嘢要做？
跑盘好忙，一直在外边跑,係咪有好多嘢要做？
失眠了？,除咗失眠之外有冇其他問題嗎？
我也失眠,除咗失眠之外有冇其他問題嗎？
你失眠啊？,除咗失眠之外有冇其他問題嗎？
"开心最重要不要忘了,女人不要委屈自己。",係咪有人屈你？
我也失眠,除咗失眠之外有冇其他問題嗎？
我觉得能工作的话就最好直接工作，女娃年轻太重要了，我们这迷茫的一代噢迷茫并努力着,你係咪覺得迷茫?
你真残忍，我不想死啊,你係咪覺得好辛苦呀?
怎么了？又失眠了，你又乱想东西了？下次喝杯牛奶，睡不着也要闭上眼睛,除咗失眠之外有冇其他問題嗎？
你也失眠了？,除咗失眠之外有冇其他問題嗎？
感觉我凡好孤单,你係咪覺得孤單但係唔想同佢地出去？
你还小不合适谈恋爱，千万别介绍女朋友。,你覺得同佢適唔適合啊？
你躲着，想死啊,你係咪覺得好辛苦呀?
你失眠啦？,除咗失眠之外有冇其他問題嗎？
开心的事情啊就是因为不舒服所以今天可以在家好好休息了还有明天就周五了下周就考试了考完试就放假了哈哈哈,仲有幾耐考呀？
我也想开心，20岁以后好像没怎么开心过，总是很迷茫,你係咪覺得迷茫?
失眠？,除咗失眠之外有冇其他問題嗎？
谢谢大师，大师说得很准确，自己有时候定的目标太大，但是又怕自己实现不了，往往就中途放弃了，大师您觉得像我这种情况，应该怎样做才能改变目前的情况，麻烦大师了,你係咪有好明確嘅目標？
讨厌，我N久没失眠了。,除咗失眠之外有冇其他問題嗎？
好厉害这衣服咋么做的啊我儿子弄的我失眠啊,除咗失眠之外有冇其他問題嗎？
我已经喝了一天的稀饭了······疼的想死啊····,你係咪覺得好辛苦呀?
该怎么办，焦虑症是一种病吗？,你係咪好容易焦慮？
该怎么办，焦虑症是一种病吗？,係咪覺得讀書好大壓力啊?
？爷们儿也失眠？,除咗失眠之外有冇其他問題嗎？
好忙啊,係咪有好多嘢要做？
笑太过小心失眠,除咗失眠之外有冇其他問題嗎？
失眠会掉发,除咗失眠之外有冇其他問題嗎？
都没人陪我吃，我好孤独,你係咪覺得好孤獨?
您好，请问这款可以调整大小吗？我女朋友手很细不知道她合不合适。,你覺得同佢適唔適合啊？
终于碰到旭哥在线了求问兔子上牙齿凹进嘴巴里面去想把它磨短一系列下来费用是多少？？？学生党经济能力有限可我很想带它去看求告知谢谢,你覺得你嘅能力差多定少先夠？
我今早起床想死的心都有～,你係咪覺得好辛苦呀?
当大学班长好累啊，有时候自己很委屈，却只能默默承受……,係咪有人屈你？
嘤嘤嘤～还没放假～电影票已预订宝宝委屈,係咪有人屈你？
碗很漂亮呢，就是养鱼好像不合适，弄个深点儿的盆好点儿,你覺得同佢適唔適合啊？
我也想退休！,你係咪覺得退休會開心啲?
别委屈，我不吃熊掌,係咪有人屈你？
好辛苦，保护学姐,係咪覺得壓力好大?
我真心能体会，每次坐车都痛苦的想死过去！,你係咪覺得好辛苦呀?
是的逆袭过程很辛苦只有自己最清楚但为了那一个目标努力吧！！,你係咪有好明確嘅目標？
我失眠了，因为你,除咗失眠之外有冇其他問題嗎？
你也失眠了？,除咗失眠之外有冇其他問題嗎？
是啊，夏季赛起码还能追求一下世界赛名额，春季赛季军赛目标都不知道是啥！,你係咪有好明確嘅目標？
请你合理安排的活动迷茫的说,你係咪覺得迷茫?
泽也理解不了我的苦心么，委屈,係咪有人屈你？
哎我用质量尽量往上拉吧能力有限我会尽力,你覺得你嘅能力差多定少先夠？
抱一个，委屈宝宝了，感觉很多东西都会变味,係咪有人屈你？
我还是喜欢你黑长直的样子,你係咪有鍾意既人？
看来粑粑是受委屈啦,係咪有人屈你？
和男友的感情未来很迷茫,你係咪覺得迷茫?
等你一首歌好辛苦。。。加油！你以后哪天开演唱会通知我一声，我带着朋友买VIP去捧场。。。,係咪覺得壓力好大?
烦人的失眠,除咗失眠之外有冇其他問題嗎？
似乎我们都在欲走愈远远离原点的自己原点的故事也曾留恋忘返但却无力改变变迁走在时光的路途渐渐淡忘着回忆曾说的刻骨铭心似乎也经不起沧海桑田的磨蚀不再是我不再是你不再是回忆也许都会变成遥远的故事埋葬在岁月的坟墓中,咁你仲着唔着緊佢啊？
你还委屈啥呢银行宝宝都不知道周末是啥玩意了,係咪有人屈你？
大哥借楼一下红色棉服今天好像到了不合适的话会出,你覺得同佢適唔適合啊？
作为一个已经起来在等车的人来说想死,你係咪覺得好辛苦呀?
迷茫是人生的主题。厦门单位有点少,你係咪覺得迷茫?
分手了快三个月却还不能释怀，对以后的工作生活也迷茫。不知所措。,你係咪覺得迷茫?
没有同龄人好孤单,你係咪覺得孤單但係唔想同佢地出去？
啥东西搞的你那么紧张老是失眠哦,除咗失眠之外有冇其他問題嗎？
女人太情绪化，做事儿不考虑后果，总自作聪明就容易坏事儿。,你會唔會有好多情緒？
你怎么天天失眠,除咗失眠之外有冇其他問題嗎？
压力大呀我么没心没肺的被人讲过之后就无所谓了压根不记脑子的,壓力大有無影響到你日常生活呀?
以前一平米一万，现在一平米八万，你说我该怎么不焦虑,你係咪好容易焦慮？
刚看到天天上班好忙,係咪有好多嘢要做？
衣服不合适，注定火不了,你覺得同佢適唔適合啊？
你这个焦虑有点严重啊，有看过医生吗,你係咪好容易焦慮？
好忙噢你,係咪有好多嘢要做？
你还失眠啊,除咗失眠之外有冇其他問題嗎？
你失眠？？,除咗失眠之外有冇其他問題嗎？
我最近也是很焦虑，压抑。有时要喝几杯冰冻的饮料才缓解……,你係咪好容易焦慮？
失眠了我。。。。。,除咗失眠之外有冇其他問題嗎？
昨晚失眠，晚上下的三场雨一场一场听完最惬意，,除咗失眠之外有冇其他問題嗎？
其实我自己一个人玩的时候还好，玩的时候没觉得什么，就是后来回想起来还是觉得俩人在一起时候太自在，一个人住也没啥，挺好的，满自由，而是我现在的心境都只挂在祖国的大西南了，觉得那个地方太美了，，我真的太难把自己走粗来,你會唔會想有個人陪自己？
怎么失眠了？想啥呢？,除咗失眠之外有冇其他問題嗎？
我昨晚也失眠了到现在没睡，感觉你真的变样了。像换了一个人,除咗失眠之外有冇其他問題嗎？
你明天不是休息吗不要那么快啦反正你会失眠,除咗失眠之外有冇其他問題嗎？
你这不叫失眠,除咗失眠之外有冇其他問題嗎？
姐姐有引诱我啊，黄代表怎么比慧慧好看那多咧这场戏，估计女人憋的好辛苦,係咪覺得壓力好大?
我还是喜欢你，像刚跑了八百米，脸红的不能自已。,你係咪有鍾意既人？
你这咋老失眠试试看睡前一杯热牛奶吧,除咗失眠之外有冇其他問題嗎？
额，，自己一个人喝酒，，晕死啊，，，,你會唔會想有個人陪自己？
手冷脚冷各种的冷最关键是失眠了,除咗失眠之外有冇其他問題嗎？
不失眠才是胜利,除咗失眠之外有冇其他問題嗎？
我很迷茫,你係咪覺得迷茫?
我还是不觉得他渣。。他是想保她命，他觉得委屈受伤在命面前不算啥。墨渊比夜华有实力有实权，夜华太无奈了当然白浅想起来以后不理他我也还是觉得很舒坦的,係咪有人屈你？
好惊啊，脸变长了,係咪驚會好大壓力？
高考结束一个月了走出考场那一刻感觉心里那块石头终于可以放下了！自己心里很清楚成绩不会多好本来看得很开无所谓呢反正是本科况且这几张纸也根本就不足以否定我可是家里人一个又一个地否定我打击我让我彻底失去了信心甚至有点不想读大学了,係咪覺得讀書好大壓力啊?
我不回你你叫我了我得兜着玩机大佬的面子，但是我回你只好不情不愿的说已经躺下了播不成了，狼行委屈,係咪有人屈你？
哥这才叫失眠了还么睡了,除咗失眠之外有冇其他問題嗎？
好忧郁的背影,你係咪好容易就會覺得唔開心？
你馀热发挥差不多就行了，别给自己太大压力了,有冇嘗試做其他嘢放鬆自己呀？
共勉所以我选择开始新的生活刚开始会有点辛苦但总比之前好就足够了。对吧,你係咪覺得知足？
想死的心有不？快去外边晒晒吧,你係咪覺得好辛苦呀?
先定个能实现的目标,你係咪有好明確嘅目標？
咋失眠了呢？睡前喝点牛奶哦,除咗失眠之外有冇其他問題嗎？
焦虑什么时候生宝宝？,你係咪好容易焦慮？
失眠的时候总是想起他，把从前计划了很多遍明天还是一样单枪匹马勇敢过活,除咗失眠之外有冇其他問題嗎？
单曲循环了好几天，前几天失眠听了一晚上,除咗失眠之外有冇其他問題嗎？
我好委屈，勒种情况不是应该问我烦撒子，然后送一个亲亲，说乖，不烦。。。。。。,係咪有人屈你？
肯定系你挂住我啦！听人说失眠系因为有人挂住！被思念！！！,除咗失眠之外有冇其他問題嗎？
成功搞定抑郁女子给你最棒！,你抑鬱咗幾耐？
满满都是爱我是一个群众演员，热爱演戏，但能力有限，没有经纪人，没有宣传团队，如果有眼看到，可否给我一分钟，为我点个赞，顶顶我，我会加油的，感谢大家！愿你此生爱己所爱得己所愿再无遗憾,你覺得你嘅能力差多定少先夠？
好辛苦噶窝，我想学爵士！,係咪覺得壓力好大?
失眠还是抑郁,除咗失眠之外有冇其他問題嗎？
失眠还是抑郁,你抑鬱咗幾耐？
实习好辛苦的说,係咪覺得壓力好大?
有没有老想上厕所的感觉？,咁你有冇去廁所啊?
所以你为啥要和你老公结婚呢……自己一个人过不是很好……,你會唔會想有個人陪自己？
全如敏.广西.爱好摄影.现在迷茫不知道干嘛..职中.,你係咪覺得迷茫?
我又失眠了,除咗失眠之外有冇其他問題嗎？
我好孤独，想看电影没有伴,你係咪覺得好孤獨?
好辛苦，累炸了你,係咪覺得壓力好大?
好辛苦、加油坚持,係咪覺得壓力好大?
可作为一个目标……特别是对于平常试茶、喝茶频率比较高的茶友！因为这要有2个条件：（1）存茶的种类要多，级别要高；（2）对于茶的了解要到一定的程度。,你係咪有好明確嘅目標？
2016年我的目标是：完成2015年那些本该在2014年完成的我在2013年就信誓旦旦要完成的2012年制定的目标,你係咪有好明確嘅目標？
小高二还不知道要考什么大学没有目标前进艰难祝你们新年快乐吧,你係咪有好明確嘅目標？
高三抑郁那阵，跟父母说父母不信，跟同学说同学也不信，自己就去找学校的心理老师，结果心理老师都嫌我烦。那个时候真的特别无助，上课注意力无法集中，每天晚上都睡不着，时时刻刻处在焦虑中。那个时候真的很希望有人能理解自己，哪怕是一句温柔的话都好。,你係咪好容易焦慮？
高三抑郁那阵，跟父母说父母不信，跟同学说同学也不信，自己就去找学校的心理老师，结果心理老师都嫌我烦。那个时候真的特别无助，上课注意力无法集中，每天晚上都睡不着，时时刻刻处在焦虑中。那个时候真的很希望有人能理解自己，哪怕是一句温柔的话都好。,你抑鬱咗幾耐？
你这是失眠了，还是失眠了？,除咗失眠之外有冇其他問題嗎？
完完全全自己写的，我可以给你找56年前我写的东西。只是有一段迷茫的时间一直在抱怨感情或者生活。无忧无虑做自己好了。,你係咪覺得迷茫?
刚刚一下子迷茫了，看到这段话豁然开朗，APPLE真棒,你係咪覺得迷茫?
失眠快了死,除咗失眠之外有冇其他問題嗎？
你这失眠有点严重啊,除咗失眠之外有冇其他問題嗎？
姐来告诉你，那是运动过度啊！！！！我之前就这样啊！！！夜夜大失眠！！！,除咗失眠之外有冇其他問題嗎？
我女人呢几日都好累好辛苦，心痛死我了。,係咪覺得壓力好大?
谢谢你正失眠的自己看到你这句话很治愈,除咗失眠之外有冇其他問題嗎？
失眠成这样？！,除咗失眠之外有冇其他問題嗎？
我为啥没抢着前几委屈,係咪有人屈你？
你喜欢她，她喜欢你，可你们不合适，还能做朋友么,你覺得同佢適唔適合啊？
！！！！！！学姐我目前定的目标就是北航,你係咪有好明確嘅目標？
现实中有多少离婚又复婚的，，有多少离婚空窗期有新男女朋友的，在一起之后觉得不合适分开了的又有多少？也没见说的，明星怎么就不行啦？他不是人吗？不能有生活嘛？挺正常吧？就因为是公众人物吗？也没规定明星结婚不能离婚，不能离婚在谈恋爱，不能在分手，不能在复婚吧？真是奇怪天天热搜个啥,你覺得同佢適唔適合啊？
19了。大学毕业真的会很迷茫，然后最终困于生活吗？,你係咪覺得迷茫?
不合适的人始终要分开没必要为一段不合适的感情而努力你求人的样子像条狗你哭的样子特别丑你矫情的文字也会让人嘲笑很久,你覺得同佢適唔適合啊？
今天的目标是把这些球打秃毛吗？,你係咪有好明確嘅目標？
打篮球有身高力量就足够了,你係咪覺得知足？
一天，我在听涛涛的歌听得正嗨，轩轩扯了一下我的衣角，毛毛从背后抱住我，在我耳边委屈的说，我的歌不好听吗,係咪有人屈你？
你还在失眠啊,除咗失眠之外有冇其他問題嗎？
发卡她只是出于她自己的位置感到难受，去年她就是第二，但是运营给她的资源却不如后卫，今年还是第二，她的处境就很艰难了。并没有针对任何队友的意思，也没有嫉妒队友的意思，她和队友的关系一直都很好的，目标是第一，并不是针对第一名的人,你係咪有好明確嘅目標？
我都还不知道什么时候能走吖。是好寂寞吖。。深圳去广州多少钱啊？,你係咪覺得好寂寞?
你爸妈把你像公主一样宠爱这么多年不是为了让你去为谁委屈自己的好好做自己该吃吃该睡睡该嗨嗨放手未尝不是一件好事儿,係咪有人屈你？
他们只是一群少年而已别给他们太大压力了真的看着我心疼死了弹幕疯狂的骂输了又怎么样呢不一定非要拿冠军他们不是谁我不是为了他们冠军才喜欢他们的他们只是我喜欢的少年只是刚好我喜欢的一群少年拿了两个冠军而已不管结果怎么样我相信他们并且爱他们,有冇嘗試做其他嘢放鬆自己呀？
我失眠了,除咗失眠之外有冇其他問題嗎？
过来广州，我帮你去除迷茫！,你係咪覺得迷茫?
谁的青春不迷茫,你係咪覺得迷茫?
迷茫的很，不知道以后做什么,你係咪覺得迷茫?
在对抗失眠,除咗失眠之外有冇其他問題嗎？
想啥想的失眠了。一直看手机哟？,除咗失眠之外有冇其他問題嗎？
这体重我的目标,你係咪有好明確嘅目標？
你这是婚前焦虑？我要送你的东西，哪天我休息了给你送过去啊,你係咪好容易焦慮？
马上要去上大学了。感到害怕。怕遇不到志同道合的朋友。怕和以前的朋友疏远。怕到了大学我会变成自己不喜欢的样子。怕自己定的目标实现不了。。。怕好多,你係咪有好明確嘅目標？
睡前想太多容易失眠。,除咗失眠之外有冇其他問題嗎？
我也没去说人家，我只是说你…我又没说别人哪里不好…！反正我不想再受一点委屈…你要是无故的替别人说我，我也不想再受么吗…？我也还委屈的要为我自己说句话！你要静，我也要！,係咪有人屈你？
又失眠？,除咗失眠之外有冇其他問題嗎？
我也来跟着皮一下，我不再迷茫，思念是唯一的行囊,你係咪覺得迷茫?
你的眼神怎么着都有点迷茫的感觉吧。。。,你係咪覺得迷茫?
是有多小？你要排除是不是健康问题，如果状态好但不吃，可以换龟粮试试,係咪有健康問題困擾你呀?
我有哦，s玛，谁要啦，我不合适，转给需要的人,你覺得同佢適唔適合啊？
最近感觉很多时候都是提不起劲，对很多以前感兴趣的事情都冷淡下来，没有那种紧迫感，生活变得有点浑浑噩噩的。看着身边的人一个个都在努力把自己变好，变优秀，而我还是那么无动于衷的，我很讨厌这种感觉，想把自己解救回来...,係咪覺得冇動力？
可是呀表白成功在一起两天以后发现没呢么喜欢不合适是真的真的真的真的特别特别特别难过呀,你覺得同佢適唔適合啊？
做国二的题目就没几道对的跟高考前做理综的感觉样的还一个月不到就考试了什么都不会,仲有幾耐考呀？
所以我今天又要被你毒害。可能要失眠了。,除咗失眠之外有冇其他問題嗎？
找我阿\'失眠小帮手,除咗失眠之外有冇其他問題嗎？
真失眠了？,除咗失眠之外有冇其他問題嗎？
早上9点失眠？,除咗失眠之外有冇其他問題嗎？
